Rank,Player,Country,Hit,Single,Outside,Other,Pcnt,Double,Year
53,Mark McGeeney,ENG,45,36,33,0,39.47%,20,2019
54,Daryl Gurney,NIR,285,156,276,6,39.42%,20,2019
55,Robert Thornton,SCO,54,42,33,9,39.13%,20,2019
56,Darren Webster,ENG,186,105,189,0,38.75%,20,2019
57,Keegan Brown,ENG,72,84,24,6,38.71%,20,2019
58,Ian White,ENG,297,171,303,0,38.52%,20,2019
59,Mario Robbe,NED,15,6,18,0,38.46%,20,2019
60,Ron Meulenkamp,NED,45,45,27,0,38.46%,20,2019
61,Simon Stevenson,ENG,45,30,42,0,38.46%,20,2019
62,Dave Parletti,ENG,15,9,15,0,38.46%,20,2019
63,Ciarán Teehan,IRL,15,9,15,0,38.46%,20,2019
64,Reece Robinson,ENG,15,3,21,0,38.46%,20,2019
65,John Henderson,SCO,147,54,186,0,37.98%,20,2019
66,Damon Heta,AUS,42,30,39,0,37.84%,20,2019
67,Raymond van Barneveld,NED,99,96,69,0,37.5%,20,2019
68,Dave Prins,ENG,9,3,9,3,37.5%,20,2019
69,Scott Taylor,ENG,45,18,60,0,36.59%,20,2019
70,Luke Woodhouse,ENG,45,30,48,0,36.59%,20,2019
71,Benito van de Pas,NED,24,12,30,0,36.36%,20,2019
72,Jeffrey de Zwaan,NED,156,105,168,0,36.36%,20,2019
73,Madars Razma,LTV,24,18,24,0,36.36%,20,2019
74,Rob Cross,ENG,147,192,69,0,36.03%,20,2019
75,Stephen Bunting,ENG,141,135,117,0,35.88%,20,2019
76,Luke Humphries,ENG,72,72,57,0,35.82%,20,2019
77,Geert Nentjes,NED,15,9,18,0,35.71%,20,2019
78,Max Hopp,GER,69,57,69,0,35.38%,20,2019
79,Darin Young,USA,36,33,24,9,35.29%,20,2019
80,James Richardson,ENG,54,36,57,6,35.29%,20,2019
81,Ryan Harrington,ENG,18,24,6,3,35.29%,20,2019
82,Josh Payne,ENG,21,21,18,0,35%,20,2019
83,Simon Whitlock,AUS,141,138,123,3,34.81%,20,2019
84,Gabriel Clemens,GER,72,81,54,0,34.78%,20,2019
85,Rowby-John Rodriguez,AUT,27,30,18,3,34.62%,20,2019
86,Chris Dobey,ENG,144,105,156,12,34.53%,20,2019
87,Mensur Suljović,AUT,225,255,171,6,34.25%,20,2019
88,Mickey Mansell,NIR,48,39,54,0,34.04%,20,2019
89,Adrian Lewis,ENG,177,192,147,6,33.91%,20,2019
90,Steve Beaton,ENG,90,105,66,9,33.33%,20,2019
91,Kim Viljanen,FIN,9,9,9,0,33.33%,20,2019
92,Devon Petersen,RSA,21,21,21,0,33.33%,20,2019
93,Steve West,ENG,39,30,48,0,33.33%,20,2019
94,Rsoer Roes,POR,12,12,13,0,32.43%,20,2019
95,José de Sousa,POR,24,24,26,0,32.43%,20,2019
96,Ross Smith,ENG,48,57,42,3,32%,20,2019
97,Krzysztof Ratajski,POL,108,117,117,0,31.58%,20,2019
98,José Justicia,ESP,18,21,18,0,31.58%,20,2019
99,Wesley Plaisier,NED,15,12,21,0,31.25%,20,2019
100,Dawson Murschell,CAN,15,21,12,0,31.25%,20,2019
101,Danny Noppert,NED,108,150,87,3,31.03%,20,2019
102,Lourence Ilagan,PHI,12,0,27,0,30.77%,20,2019
103,Vincent van der Meer,NED,12,15,12,0,30.77%,20,2019
104,Steve Lennon,IRL,63,87,57,0,30.43%,20,2019
105,Jamie Hughes,ENG,144,135,195,3,30.19%,20,2019
106,Dragutin Horvat,GER,9,6,15,0,30%,20,2019
107,Carl Wilkinson,ENG,9,6,15,0,30%,20,2019
108,Jeff Smith,CAN,9,15,6,0,30%,20,2019
109,Mark Barilli,SCO,9,9,9,3,30%,20,2019
110,Cristo Reyes,ESP,21,27,21,3,29.17%,20,2019
111,Ritchie Edhouse,ENG,27,27,39,0,29.03%,20,2019
112,Joe Murnan,ENG,18,9,36,0,28.57%,20,2019
113,Boris Koltsov,RUS,30,39,36,0,28.57%,20,2019
114,Pavel Jirkal,CZE,6,9,6,0,28.57%,20,2019
115,Jan Dekker,NED,6,6,6,3,28.57%,20,2019
116,Per Laursen,DEN,12,21,9,0,28.57%,20,2019
117,Kyle Anderson,AUS,81,117,87,3,28.13%,20,2019
118,Martin Schindler,GER,15,27,12,0,27.78%,20,2019
119,Robbie King,AUS,15,18,21,0,27.78%,20,2019
120,William O'Connor,IRL,63,93,72,0,27.63%,20,2019
121,Michael Rasztovits,AUT,15,27,12,3,26.32%,20,2019
122,Jonny Clayton,WAL,72,96,114,6,25%,20,2019
123,Ryan Joyce,ENG,15,18,27,0,25%,20,2019
124,Adam Hunt,ENG,6,6,12,0,25%,20,2019
125,Mark Webster,WAL,9,12,15,0,25%,20,2019
126,Jim Long,CAN,9,21,9,0,23.08%,20,2019
127,Callan Rydz,ENG,15,24,27,0,22.73%,20,2019
128,Marko Kantele,FIN,6,3,18,0,22.22%,20,2019
129,Kevin Burness,NIR,6,6,15,0,22.22%,20,2019
130,Matthew Edgar,ENG,9,15,18,0,21.43%,20,2019
131,Corey Cadby,AUS,9,15,15,3,21.43%,20,2019
132,Cameron Menzies,SCO,12,27,18,0,21.05%,20,2019
133,Danny van Trijp,NED,6,15,9,0,20%,20,2019
134,Justin Pipe,ENG,15,36,24,0,20%,20,2019
135,Mike De Decker,BEL,12,36,9,3,20%,20,2019
136,Steffen Siepmann,GER,9,21,15,0,20%,20,2019
137,Leonard Gates,USA,6,15,9,0,20%,20,2019
138,Ryan Meikle,ENG,15,42,27,0,17.86%,20,2019
139,Tytus Kanik,POL,9,18,24,0,17.65%,20,2019
140,Haupai Puha,NZL,6,21,9,0,16.67%,20,2019
141,Ben Robb,NZL,6,12,21,0,15.38%,20,2019
142,Wessel Nijman,NED,3,9,9,0,14.29%,20,2019
143,Scott Baker,ENG,3,9,9,0,14.29%,20,2019
144,Zong Xiaochen,CHN,3,15,6,0,12.5%,20,2019
145,Kevin Knopf,GER,3,9,15,0,11.11%,20,2019
146,Gavin Carlin,NIR,0,6,18,0,0%,20,2019
147,Yuki Yamada,JPN,0,18,9,0,0%,20,2019
148,Zoran Lerchbacher,AUT,0,9,15,0,0%,20,2019
1,Callan Rydz,ENG,15,3,6,0,62.5%,1,2020
2,Gerwyn Price,WAL,18,3,9,0,60%,1,2020
3,Damon Heta,AUS,12,3,3,3,57.14%,1,2020
4,Gary Anderson,SCO,27,12,9,0,56.25%,1,2020
5,Krzysztof Ratajski,POL,15,0,12,0,55.56%,1,2020
6,Dave Chisnall,ENG,15,3,6,3,55.56%,1,2020
7,Daniel Larsson,SWE,12,6,6,0,50%,1,2020
8,Dirk van Duijvenbode,NED,18,6,15,0,46.15%,1,2020
9,Jermaine Wattimena,NED,18,9,12,0,46.15%,1,2020
10,Michael van Gerwen,NED,15,12,3,3,45.45%,1,2020
11,Mensur Suljović,AUT,9,3,9,0,42.86%,1,2020
12,Simon Whitlock,AUS,9,6,6,0,42.86%,1,2020
13,Ian White,ENG,9,6,6,0,42.86%,1,2020
14,José de Sousa,POR,10,6,10,0,38.46%,1,2020
15,Kirk Shepherd,ENG,9,6,9,0,37.5%,1,2020
16,Vincent van der Voort,NED,9,6,9,0,37.5%,1,2020
17,Peter Wright,SCO,15,3,21,3,35.71%,1,2020
18,Michael Smith,ENG,24,15,30,0,34.78%,1,2020
19,Kim Huybrechts,BEL,9,6,12,0,33.33%,1,2020
20,Jonny Clayton,WAL,12,12,12,0,33.33%,1,2020
21,Glen Durrant,ENG,27,15,42,3,31.03%,1,2020
22,James Wilson,ENG,9,6,15,0,30%,1,2020
23,Rob Cross,ENG,9,15,6,0,30%,1,2020
24,Luke Woodhouse,ENG,6,0,15,0,28.57%,1,2020
25,John Henderson,SCO,6,9,9,0,25%,1,2020
26,Joe Cullen,ENG,9,12,18,0,23.08%,1,2020
27,Joe Murnan,ENG,6,15,0,6,22.22%,1,2020
28,Luke Humphries,ENG,9,6,30,3,18.75%,1,2020
29,Steve Beaton,ENG,3,3,15,0,14.29%,1,2020
30,Krzysztof Kciuk,POL,0,9,12,0,0%,1,2020
1,Andy Boulton,SCO,18,6,3,0,66.67%,2,2020
2,Dave Chisnall,ENG,36,12,12,0,60%,2,2020
3,Damon Heta,AUS,36,15,12,0,57.14%,2,2020
4,Rob Cross,ENG,21,12,6,0,53.85%,2,2020
5,Michael van Gerwen,NED,42,24,12,0,53.85%,2,2020
6,Simon Whitlock,AUS,24,15,9,0,50%,2,2020
7,Ryan Murray,SCO,12,0,12,0,50%,2,2020
8,Stephen Bunting,ENG,30,9,21,0,50%,2,2020
9,Mervyn King,ENG,12,9,3,0,50%,2,2020
10,Gabriel Clemens,GER,21,9,15,0,46.67%,2,2020
11,James Wade,ENG,21,6,18,0,46.67%,2,2020
12,Peter Wright,SCO,36,27,15,0,46.15%,2,2020
13,Daryl Gurney,NIR,18,9,12,0,46.15%,2,2020
14,Martin Schindler,GER,18,12,9,0,46.15%,2,2020
15,Geert Nentjes,NED,15,3,15,0,45.45%,2,2020
16,Max Hopp,GER,15,6,12,0,45.45%,2,2020
17,Danny Noppert,NED,27,12,21,0,45%,2,2020
18,Darius Labanauskas,LTH,12,0,15,0,44.44%,2,2020
19,Nick Kenny,WAL,12,3,12,0,44.44%,2,2020
20,Marko Kantele,FIN,12,12,3,0,44.44%,2,2020
21,Richard North,ENG,12,0,15,0,44.44%,2,2020
22,Ron Meulenkamp,NED,21,6,21,0,43.75%,2,2020
23,David Pallett,ENG,9,3,9,0,42.86%,2,2020
24,Jeff Smith,CAN,18,12,12,0,42.86%,2,2020
25,Leung Kai Fan,HKG,9,3,9,0,42.86%,2,2020
26,Adrian Lewis,ENG,9,3,9,0,42.86%,2,2020
27,Alan Tabern,ENG,15,15,6,0,41.67%,2,2020
28,Ian White,ENG,30,18,24,0,41.67%,2,2020
29,Michael Smith,ENG,45,33,30,0,41.67%,2,2020
30,Carl Wilkinson,ENG,15,12,9,0,41.67%,2,2020
31,Chris Dobey,ENG,21,12,18,0,41.18%,2,2020
32,Gary Anderson,SCO,51,24,45,6,40.48%,2,2020
33,Steve Lennon,IRL,12,6,12,0,40%,2,2020
34,Gerwyn Price,WAL,42,21,45,0,38.89%,2,2020
35,Martijn Kleermaker,NED,24,12,27,0,38.1%,2,2020
36,Jonny Clayton,WAL,24,12,24,3,38.1%,2,2020
37,Luke Humphries,ENG,9,12,3,0,37.5%,2,2020
38,Madars Razma,LTV,9,9,6,0,37.5%,2,2020
39,Jelle Klaasen,NED,9,12,3,0,37.5%,2,2020
40,José de Sousa,POR,14,6,18,0,36.84%,2,2020
41,James Wilson,ENG,15,18,9,0,35.71%,2,2020
42,Devon Petersen,RSA,30,21,33,0,35.71%,2,2020
43,Kim Huybrechts,BEL,24,18,24,3,34.78%,2,2020
44,Ted Evetts,ENG,9,6,12,0,33.33%,2,2020
45,Jamie Hughes,ENG,18,9,27,0,33.33%,2,2020
46,Joe Cullen,ENG,18,18,18,0,33.33%,2,2020
47,John Henderson,SCO,12,12,12,0,33.33%,2,2020
48,Steve Beaton,ENG,21,18,24,0,33.33%,2,2020
49,Krzysztof Ratajski,POL,21,21,27,0,30.43%,2,2020
50,Lisa Ashton,ENG,9,9,12,0,30%,2,2020
51,Mensur Suljović,AUT,9,21,0,0,30%,2,2020
52,Luke Woodhouse,ENG,9,12,9,0,30%,2,2020
53,Steve West,ENG,15,6,30,0,29.41%,2,2020
54,Bradley Brooks,ENG,6,12,3,0,28.57%,2,2020
55,Daniel Larsson,SWE,6,9,6,0,28.57%,2,2020
56,Andy Hamilton,ENG,9,6,18,0,27.27%,2,2020
57,Nathan Aspinall,ENG,21,24,33,0,26.92%,2,2020
58,Ryan Meikle,ENG,12,9,21,3,26.67%,2,2020
59,Ross Smith,ENG,12,12,21,3,25%,2,2020
60,Jason Lowe,ENG,6,12,6,0,25%,2,2020
61,Adam Hunt,ENG,15,12,36,0,23.81%,2,2020
62,Glen Durrant,ENG,18,39,21,0,23.08%,2,2020
63,William Borland,SCO,9,9,21,0,23.08%,2,2020
64,Kirk Shepherd,ENG,6,12,9,0,22.22%,2,2020
65,Jermaine Wattimena,NED,15,30,18,9,20.83%,2,2020
66,Dimitri Van den Bergh,BEL,9,15,21,0,20%,2,2020
67,Ricky Evans,ENG,6,3,18,3,20%,2,2020
68,Gary Blades,ENG,6,9,12,3,20%,2,2020
69,Dirk van Duijvenbode,NED,6,21,12,0,15.38%,2,2020
70,Matthew Edgar,ENG,3,6,12,0,14.29%,2,2020
71,Joe Murnan,ENG,3,27,15,0,6.67%,2,2020
72,Jonathan Worsley,WAL,0,9,21,0,0%,2,2020
73,Vincent van der Voort,NED,0,15,12,3,0%,2,2020
1,Ian White,ENG,12,3,9,0,50%,3,2020
2,Jonny Clayton,WAL,15,3,15,0,45.45%,3,2020
3,Peter Wright,SCO,21,9,18,0,43.75%,3,2020
4,Kirk Shepherd,ENG,9,0,12,0,42.86%,3,2020
5,Ross Smith,ENG,15,9,12,0,41.67%,3,2020
6,Martijn Kleermaker,NED,12,3,12,3,40%,3,2020
7,Michael van Gerwen,NED,15,6,18,0,38.46%,3,2020
8,Mensur Suljović,AUT,9,0,15,0,37.5%,3,2020
9,Dave Chisnall,ENG,12,6,15,3,33.33%,3,2020
10,Nick Kenny,WAL,9,3,12,3,33.33%,3,2020
11,Gerwyn Price,WAL,15,21,12,0,31.25%,3,2020
12,Mervyn King,ENG,6,3,12,0,28.57%,3,2020
13,Michael Smith,ENG,12,9,24,0,26.67%,3,2020
14,Stephen Bunting,ENG,6,0,15,3,25%,3,2020
15,Daryl Gurney,NIR,3,6,12,0,14.29%,3,2020
16,Steve Beaton,ENG,3,3,15,0,14.29%,3,2020
17,Krzysztof Ratajski,POL,3,6,12,0,14.29%,3,2020
18,Joe Cullen,ENG,3,9,9,0,14.29%,3,2020
19,Ron Meulenkamp,NED,3,3,24,0,10%,3,2020
1,Scott Baker,ENG,15,3,3,3,62.5%,4,2020
2,Krzysztof Kciuk,POL,24,6,9,0,61.54%,4,2020
3,Jeffrey de Zwaan,NED,18,9,0,3,60%,4,2020
4,Ricky Evans,ENG,18,6,3,3,60%,4,2020
5,Brendan Dolan,NIR,18,3,9,0,60%,4,2020
6,Jamie Lewis,WAL,18,6,6,0,60%,4,2020
7,Ryan Searle,ENG,39,9,18,0,59.09%,4,2020
8,Lisa Ashton,ENG,12,3,6,0,57.14%,4,2020
9,José de Sousa,POR,48,10,28,0,55.81%,4,2020
10,Rsoer Roes,POR,24,5,14,0,55.81%,4,2020
11,Mervyn King,ENG,42,24,12,3,51.85%,4,2020
12,Rob Cross,ENG,69,21,39,6,51.11%,4,2020
13,Luke Humphries,ENG,78,24,51,0,50.98%,4,2020
14,Bradley Brooks,ENG,21,9,12,0,50%,4,2020
15,Geert Nentjes,NED,15,12,0,3,50%,4,2020
16,Jeff Smith,CAN,18,9,9,0,50%,4,2020
17,Justin Pipe,ENG,12,6,6,0,50%,4,2020
18,Robert Thornton,SCO,12,0,12,0,50%,4,2020
19,Stephen Bunting,ENG,45,24,21,0,50%,4,2020
20,Damon Heta,AUS,42,24,12,6,50%,4,2020
21,Carl Wilkinson,ENG,42,21,21,0,50%,4,2020
22,Peter Wright,SCO,87,48,45,0,48.33%,4,2020
23,Scott Waites,ENG,27,6,24,0,47.37%,4,2020
24,Andy Boulton,SCO,24,18,9,0,47.06%,4,2020
25,Andy Hamilton,ENG,21,12,12,0,46.67%,4,2020
26,Jelle Klaasen,NED,15,6,12,0,45.45%,4,2020
27,Ross Smith,ENG,30,21,12,3,45.45%,4,2020
28,Kirk Shepherd,ENG,27,24,9,0,45%,4,2020
29,Jonny Clayton,WAL,93,36,75,3,44.93%,4,2020
30,Mickey Mansell,NIR,12,6,9,0,44.44%,4,2020
31,Mensur Suljović,AUT,24,21,9,0,44.44%,4,2020
32,Marko Kantele,FIN,33,15,27,0,44%,4,2020
33,Steve West,ENG,21,12,12,3,43.75%,4,2020
34,Simon Whitlock,AUS,51,30,36,0,43.59%,4,2020
35,Nathan Aspinall,ENG,60,39,39,0,43.48%,4,2020
36,Krzysztof Ratajski,POL,72,30,60,6,42.86%,4,2020
37,Steve Brown,ENG,9,0,12,0,42.86%,4,2020
38,Dimitri Van den Bergh,BEL,66,27,60,3,42.31%,4,2020
39,Adrian Lewis,ENG,15,9,12,0,41.67%,4,2020
40,Devon Petersen,RSA,54,39,39,0,40.91%,4,2020
41,Danny Noppert,NED,39,33,24,0,40.63%,4,2020
42,Max Hopp,GER,18,15,9,3,40%,4,2020
43,Daniel Larsson,SWE,12,15,3,0,40%,4,2020
44,Mike De Decker,BEL,12,6,6,6,40%,4,2020
45,Ryan Murray,SCO,12,6,12,0,40%,4,2020
46,Martijn Kleermaker,NED,18,12,12,3,40%,4,2020
47,Glen Durrant,ENG,63,45,51,0,39.62%,4,2020
48,James Wilson,ENG,54,36,45,3,39.13%,4,2020
49,Keegan Brown,ENG,9,6,9,0,37.5%,4,2020
50,Richard North,ENG,9,9,6,0,37.5%,4,2020
51,Dirk van Duijvenbode,NED,39,33,33,0,37.14%,4,2020
52,Gary Anderson,SCO,81,63,72,3,36.99%,4,2020
53,Ron Meulenkamp,NED,21,18,9,9,36.84%,4,2020
54,Ian White,ENG,45,45,27,6,36.59%,4,2020
55,Adam Hunt,ENG,24,21,21,0,36.36%,4,2020
56,Steve Beaton,ENG,45,30,51,0,35.71%,4,2020
57,Nick Kenny,WAL,15,12,15,0,35.71%,4,2020
58,Ryan Joyce,ENG,24,15,27,3,34.78%,4,2020
59,Vincent van der Voort,NED,27,18,27,6,34.62%,4,2020
60,Michael Smith,ENG,36,39,30,0,34.29%,4,2020
61,William O'Connor,IRL,21,9,33,0,33.33%,4,2020
62,Martin Schindler,GER,21,24,18,0,33.33%,4,2020
63,Chris Dobey,ENG,30,36,24,0,33.33%,4,2020
64,Ciarán Teehan,IRL,9,6,12,0,33.33%,4,2020
65,Conan Whitehead,ENG,15,9,21,0,33.33%,4,2020
66,Joe Cullen,ENG,45,45,45,0,33.33%,4,2020
67,Jamie Hughes,ENG,24,30,21,0,32%,4,2020
68,Madars Razma,LTV,18,18,18,3,31.58%,4,2020
69,Michael van Gerwen,NED,51,54,54,6,30.91%,4,2020
70,Callan Rydz,ENG,24,21,33,0,30.77%,4,2020
71,Gabriel Clemens,GER,30,30,42,0,29.41%,4,2020
72,William Borland,SCO,15,21,12,3,29.41%,4,2020
73,Leung Kai Fan,HKG,21,12,30,9,29.17%,4,2020
74,Kim Huybrechts,BEL,48,48,66,3,29.09%,4,2020
75,Gerwyn Price,WAL,30,39,36,0,28.57%,4,2020
76,Daryl Gurney,NIR,30,27,51,0,27.78%,4,2020
77,Karel Sedláček,CZE,9,15,9,0,27.27%,4,2020
78,Dave Chisnall,ENG,33,39,54,0,26.19%,4,2020
79,James Wade,ENG,21,21,39,0,25.93%,4,2020
80,Jermaine Wattimena,NED,27,33,42,3,25.71%,4,2020
81,Jonathan Worsley,WAL,6,6,12,0,25%,4,2020
82,Niels Zonneveld,NED,6,3,15,0,25%,4,2020
83,Steve Lennon,IRL,6,18,0,0,25%,4,2020
84,Harry Ward,ENG,6,3,15,0,25%,4,2020
85,Joe Murnan,ENG,6,12,9,0,22.22%,4,2020
86,Luke Woodhouse,ENG,12,12,27,3,22.22%,4,2020
87,Mike van Duivenbode,NED,6,9,12,0,22.22%,4,2020
88,Alan Tabern,ENG,12,21,24,0,21.05%,4,2020
89,Derk Telnekes,NED,6,9,15,0,20%,4,2020
90,David Pallett,ENG,12,18,27,3,20%,4,2020
91,Darius Labanauskas,LTH,9,18,21,0,18.75%,4,2020
92,Gary Blades,ENG,9,24,24,3,15%,4,2020
93,Harald Leitinger,AUT,9,9,42,3,14.29%,4,2020
94,Ryan Meikle,ENG,6,21,15,0,14.29%,4,2020
95,Jason Lowe,ENG,3,21,9,0,9.09%,4,2020
96,John Henderson,SCO,3,24,15,3,6.67%,4,2020
1,Darius Labanauskas,LTH,18,3,6,0,66.67%,5,2020
2,Kim Huybrechts,BEL,42,9,15,0,63.64%,5,2020
3,Mickey Mansell,NIR,18,12,0,0,60%,5,2020
4,Max Hopp,GER,18,6,6,0,60%,5,2020
5,Dirk van Duijvenbode,NED,18,0,12,3,54.55%,5,2020
6,Ryan Searle,ENG,39,15,18,0,54.17%,5,2020
7,Andy Hamilton,ENG,21,12,6,0,53.85%,5,2020
8,James Wade,ENG,57,15,39,0,51.35%,5,2020
9,Ryan Meikle,ENG,24,12,12,0,50%,5,2020
10,Gabriel Clemens,GER,33,9,24,0,50%,5,2020
11,Jonathan Worsley,WAL,15,6,6,3,50%,5,2020
12,Madars Razma,LTV,12,3,9,0,50%,5,2020
13,Steve Brown,ENG,51,3,48,3,48.57%,5,2020
14,Rsoer Roes,POR,11,6,6,0,47.83%,5,2020
15,José de Sousa,POR,22,12,12,0,47.83%,5,2020
16,Vincent van der Voort,NED,24,18,9,0,47.06%,5,2020
17,Chris Dobey,ENG,21,15,9,0,46.67%,5,2020
18,Steve Lennon,IRL,18,12,9,0,46.15%,5,2020
19,Karel Sedláček,CZE,15,3,15,0,45.45%,5,2020
20,Alan Tabern,ENG,27,15,15,3,45%,5,2020
21,Ryan Murray,SCO,12,6,9,0,44.44%,5,2020
22,Peter Jacques,ENG,12,3,12,0,44.44%,5,2020
23,Dave Chisnall,ENG,63,30,51,0,43.75%,5,2020
24,Barrie Bates,WAL,9,3,9,0,42.86%,5,2020
25,William O'Connor,IRL,9,6,6,0,42.86%,5,2020
26,Nick Kenny,WAL,18,9,6,9,42.86%,5,2020
27,Harry Ward,ENG,9,6,3,3,42.86%,5,2020
28,Peter Wright,SCO,69,36,54,3,42.59%,5,2020
29,Ron Meulenkamp,NED,60,33,42,9,41.67%,5,2020
30,Gerwyn Price,WAL,111,45,105,6,41.57%,5,2020
31,Stephen Bunting,ENG,36,27,24,0,41.38%,5,2020
32,Ross Smith,ENG,27,18,15,6,40.91%,5,2020
33,Bradley Brooks,ENG,27,12,24,3,40.91%,5,2020
34,Michael van Gerwen,NED,72,39,66,0,40.68%,5,2020
35,Mike De Decker,BEL,12,12,3,3,40%,5,2020
36,Jason Lowe,ENG,12,3,15,0,40%,5,2020
37,Gary Anderson,SCO,66,39,63,0,39.29%,5,2020
38,Carl Wilkinson,ENG,21,12,21,0,38.89%,5,2020
39,Simon Whitlock,AUS,21,9,21,3,38.89%,5,2020
40,Daniel Larsson,SWE,24,12,24,3,38.1%,5,2020
41,Luke Humphries,ENG,24,12,27,0,38.1%,5,2020
42,Michael Smith,ENG,87,72,75,0,37.18%,5,2020
43,Steve Beaton,ENG,21,18,18,0,36.84%,5,2020
44,Krzysztof Ratajski,POL,39,15,51,3,36.11%,5,2020
45,Lisa Ashton,ENG,15,6,18,3,35.71%,5,2020
46,Danny Noppert,NED,30,24,27,3,35.71%,5,2020
47,Leung Kai Fan,HKG,30,18,36,0,35.71%,5,2020
48,Jeffrey de Zwaan,NED,30,18,36,0,35.71%,5,2020
49,Jamie Hughes,ENG,18,12,21,0,35.29%,5,2020
50,Rob Cross,ENG,18,21,12,0,35.29%,5,2020
51,Daryl Gurney,NIR,18,15,15,3,35.29%,5,2020
52,Martijn Kleermaker,NED,39,30,36,6,35.14%,5,2020
53,Mensur Suljović,AUT,15,12,21,0,31.25%,5,2020
54,Jermaine Wattimena,NED,15,12,21,0,31.25%,5,2020
55,Jonny Clayton,WAL,27,30,30,0,31.03%,5,2020
56,Devon Petersen,RSA,15,27,9,0,29.41%,5,2020
57,Steve West,ENG,12,12,18,0,28.57%,5,2020
58,Marko Kantele,FIN,12,12,12,6,28.57%,5,2020
59,Ted Evetts,ENG,12,15,15,0,28.57%,5,2020
60,Mervyn King,ENG,6,12,3,0,28.57%,5,2020
61,Ricky Evans,ENG,12,9,21,0,28.57%,5,2020
62,Joe Murnan,ENG,30,18,57,0,28.57%,5,2020
63,Geert Nentjes,NED,18,15,33,0,27.27%,5,2020
64,Andy Boulton,SCO,15,12,30,0,26.32%,5,2020
65,Nathan Aspinall,ENG,27,15,63,0,25.71%,5,2020
66,Harald Leitinger,AUT,6,6,12,0,25%,5,2020
67,Martin Schindler,GER,15,15,30,0,25%,5,2020
68,Damon Heta,AUS,21,30,33,0,25%,5,2020
69,James Wilson,ENG,12,3,33,0,25%,5,2020
70,Danny Baggish,USA,6,3,15,0,25%,5,2020
71,Joe Cullen,ENG,9,15,12,0,25%,5,2020
72,Glen Durrant,ENG,24,36,36,0,25%,5,2020
73,Richard North,ENG,9,15,12,0,25%,5,2020
74,Matthew Edgar,ENG,6,6,12,0,25%,5,2020
75,Keane Barry,IRL,6,3,12,6,22.22%,5,2020
76,Adam Hunt,ENG,12,21,18,3,22.22%,5,2020
77,Krzysztof Kciuk,POL,6,3,15,3,22.22%,5,2020
78,Maik Kuivenhoven,NED,9,9,21,3,21.43%,5,2020
79,Jelle Klaasen,NED,15,18,39,0,20.83%,5,2020
80,William Borland,SCO,6,18,6,0,20%,5,2020
81,Callan Rydz,ENG,9,21,15,0,20%,5,2020
82,Gary Blades,ENG,6,15,9,0,20%,5,2020
83,Ian White,ENG,12,21,27,3,19.05%,5,2020
84,Luke Woodhouse,ENG,9,18,21,0,18.75%,5,2020
85,John Henderson,SCO,6,9,21,0,16.67%,5,2020
86,Darren Webster,ENG,6,15,15,3,15.38%,5,2020
87,Keegan Brown,ENG,6,15,18,0,15.38%,5,2020
88,Adrian Lewis,ENG,6,6,33,0,13.33%,5,2020
89,Nathan Derry,ENG,3,21,3,3,10%,5,2020
90,Jeff Smith,CAN,6,27,27,0,10%,5,2020
91,Brendan Dolan,NIR,3,12,33,0,6.25%,5,2020
1,Keegan Brown,ENG,18,0,3,0,85.71%,6,2020
2,James Wade,ENG,15,6,0,0,71.43%,6,2020
3,Martin Schindler,GER,18,6,3,0,66.67%,6,2020
4,Chris Dobey,ENG,27,3,9,3,64.29%,6,2020
5,Krzysztof Kciuk,POL,15,6,3,0,62.5%,6,2020
6,Nathan Aspinall,ENG,57,15,24,0,59.38%,6,2020
7,Michael Smith,ENG,48,21,12,0,59.26%,6,2020
8,Stephen Bunting,ENG,21,9,6,0,58.33%,6,2020
9,James Wilson,ENG,12,0,9,0,57.14%,6,2020
10,Ryan Joyce,ENG,12,3,6,0,57.14%,6,2020
11,Dirk van Duijvenbode,NED,15,6,6,0,55.56%,6,2020
12,John Michael,GRE,18,0,18,0,50%,6,2020
13,Jonny Clayton,WAL,24,18,3,3,50%,6,2020
14,Mickey Mansell,NIR,18,0,18,0,50%,6,2020
15,Gabriel Clemens,GER,33,9,24,0,50%,6,2020
16,Glen Durrant,ENG,27,3,21,3,50%,6,2020
17,Rob Cross,ENG,30,9,21,0,50%,6,2020
18,Gerwyn Price,WAL,75,39,39,3,48.08%,6,2020
19,Devon Petersen,RSA,18,15,6,0,46.15%,6,2020
20,Andy Boulton,SCO,12,6,9,0,44.44%,6,2020
21,Gary Anderson,SCO,33,21,21,0,44%,6,2020
22,Michael van Gerwen,NED,27,24,12,0,42.86%,6,2020
23,Adam Hunt,ENG,18,0,24,0,42.86%,6,2020
24,Andy Hamilton,ENG,9,6,6,0,42.86%,6,2020
25,Mervyn King,ENG,27,12,27,0,40.91%,6,2020
26,Mike De Decker,BEL,12,3,15,0,40%,6,2020
27,Jamie Lewis,WAL,12,9,9,0,40%,6,2020
28,Krzysztof Ratajski,POL,27,18,21,3,39.13%,6,2020
29,Peter Wright,SCO,42,39,27,0,38.89%,6,2020
30,Luke Humphries,ENG,39,15,42,6,38.24%,6,2020
31,José de Sousa,POR,16,10,14,2,38.1%,6,2020
32,Rsoer Roes,POR,8,5,7,1,38.1%,6,2020
33,Daryl Gurney,NIR,27,12,30,3,37.5%,6,2020
34,Simon Whitlock,AUS,18,9,21,0,37.5%,6,2020
