Rank,Player,Country,Stat,Stat Category,Year
179,Stephen Gallimore,ENG,51.68%,Pcnt Legs Won,2020
180,Jermaine Wattimena,NED,51.66%,Pcnt Legs Won,2020
181,Rob Cross,ENG,51.66%,Pcnt Legs Won,2020
182,Arjan Konterman,NED,51.65%,Pcnt Legs Won,2020
183,Chuck Puleo,USA,51.63%,Pcnt Legs Won,2020
184,Stephen Bunting,ENG,51.58%,Pcnt Legs Won,2020
185,Mindaugas Barauskas,LTH,51.55%,Pcnt Legs Won,2020
186,Andy Jenkins,ENG,51.54%,Pcnt Legs Won,2020
187,Justin Hood,ENG,51.52%,Pcnt Legs Won,2020
188,Mike De Decker,BEL,51.45%,Pcnt Legs Won,2020
189,Stu Wilson,ENG,51.41%,Pcnt Legs Won,2020
190,Jamie Hughes,ENG,51.38%,Pcnt Legs Won,2020
191,Martin Schindler,GER,51.33%,Pcnt Legs Won,2020
192,Adam Huckvale,ENG,51.24%,Pcnt Legs Won,2020
193,Andy Hamilton,ENG,51.24%,Pcnt Legs Won,2020
194,Robert Rickwood,ENG,51.21%,Pcnt Legs Won,2020
195,Adam Hunt,ENG,51.12%,Pcnt Legs Won,2020
196,Ryan Joyce,ENG,51.09%,Pcnt Legs Won,2020
197,Darius Labanauskas,LTH,51.06%,Pcnt Legs Won,2020
198,Jaikob Selby-Rivas,ENG,51.03%,Pcnt Legs Won,2020
199,Jesús Noguera,ESP,51.01%,Pcnt Legs Won,2020
200,Chris Landman,NED,51%,Pcnt Legs Won,2020
201,Ryan Murray,SCO,51%,Pcnt Legs Won,2020
202,Peter Jacques,ENG,50.97%,Pcnt Legs Won,2020
203,Jamie Robinson,ENG,50.96%,Pcnt Legs Won,2020
204,Callum Francis,ENG,50.96%,Pcnt Legs Won,2020
205,Boris Krčmar,CRO,50.95%,Pcnt Legs Won,2020
206,Jitse van der Wal,NED,50.9%,Pcnt Legs Won,2020
207,Daniel Ayres,ENG,50.8%,Pcnt Legs Won,2020
208,William O'Connor,IRL,50.76%,Pcnt Legs Won,2020
209,Steve Lennon,IRL,50.64%,Pcnt Legs Won,2020
210,Wayne Jones,ENG,50.52%,Pcnt Legs Won,2020
211,Shaun Carroll,ENG,50.48%,Pcnt Legs Won,2020
212,Steve West,ENG,50.38%,Pcnt Legs Won,2020
213,Alan Tabern,ENG,50.28%,Pcnt Legs Won,2020
214,Aden Kirk,ENG,50.23%,Pcnt Legs Won,2020
215,William Borland,SCO,50.2%,Pcnt Legs Won,2020
216,Steffen Siepmann,GER,50%,Pcnt Legs Won,2020
217,Michael Rasztovits,AUT,50%,Pcnt Legs Won,2020
218,Darren Penhall,AUS,49.89%,Pcnt Legs Won,2020
219,Daniel Larsson,SWE,49.86%,Pcnt Legs Won,2020
220,Martin Atkins (Wigan),ENG,49.81%,Pcnt Legs Won,2020
221,Lisa Ashton,ENG,49.76%,Pcnt Legs Won,2020
222,Niels-Jørgen Hansen,DEN,49.57%,Pcnt Legs Won,2020
223,Robbie Green,ENG,49.54%,Pcnt Legs Won,2020
224,Adam Mould,ENG,49.54%,Pcnt Legs Won,2020
225,Krzysztof Kciuk,POL,49.54%,Pcnt Legs Won,2020
226,Ricky Evans,ENG,49.5%,Pcnt Legs Won,2020
227,Keegan Brown,ENG,49.35%,Pcnt Legs Won,2020
228,Ron Meulenkamp,NED,49.28%,Pcnt Legs Won,2020
229,Daniel Klose,GER,49.28%,Pcnt Legs Won,2020
230,Graham Usher,ENG,49.2%,Pcnt Legs Won,2020
231,Jamie Caven,ENG,49.1%,Pcnt Legs Won,2020
232,Nick Kenny,WAL,49.03%,Pcnt Legs Won,2020
233,Jeffrey de Zwaan,NED,48.94%,Pcnt Legs Won,2020
234,Jelle Klaasen,NED,48.89%,Pcnt Legs Won,2020
235,James Wilson,ENG,48.7%,Pcnt Legs Won,2020
236,Rowby-John Rodriguez,AUT,48.62%,Pcnt Legs Won,2020
237,Justin Pipe,ENG,48.47%,Pcnt Legs Won,2020
238,John Henderson,SCO,48.46%,Pcnt Legs Won,2020
239,Luke Woodhouse,ENG,48.4%,Pcnt Legs Won,2020
240,Steve Beaton,ENG,48.33%,Pcnt Legs Won,2020
241,Levy Frauenfelder,NED,48.26%,Pcnt Legs Won,2020
242,Scott Hope,ENG,48.25%,Pcnt Legs Won,2020
243,Roman Benecky,CZE,47.95%,Pcnt Legs Won,2020
244,Max Hopp,GER,47.95%,Pcnt Legs Won,2020
245,Derek Coulson,WAL,47.87%,Pcnt Legs Won,2020
246,Geert Nentjes,NED,47.86%,Pcnt Legs Won,2020
247,Roemer Mooijman,NED,47.76%,Pcnt Legs Won,2020
248,Darren Webster,ENG,47.69%,Pcnt Legs Won,2020
249,Christian Bunse,GER,47.6%,Pcnt Legs Won,2020
250,Steve Brown,ENG,47.51%,Pcnt Legs Won,2020
251,Matthew Finch,,47.5%,Pcnt Legs Won,2020
252,Joe Murnan,ENG,47.4%,Pcnt Legs Won,2020
253,Marko Kantele,FIN,47.39%,Pcnt Legs Won,2020
254,Aiden Cope,ENG,47.39%,Pcnt Legs Won,2020
255,Carl Batchelor,ENG,47.11%,Pcnt Legs Won,2020
256,Matthew Edgar,ENG,47.03%,Pcnt Legs Won,2020
257,Josh Payne,ENG,46.93%,Pcnt Legs Won,2020
258,Maik Kuivenhoven,NED,46.68%,Pcnt Legs Won,2020
259,Benito van de Pas,NED,46.5%,Pcnt Legs Won,2020
260,Jack Vincent,ENG,46.24%,Pcnt Legs Won,2020
261,Brad Phillips,ENG,46.06%,Pcnt Legs Won,2020
262,Conan Whitehead,ENG,45.89%,Pcnt Legs Won,2020
263,Carl Wilkinson,ENG,45.8%,Pcnt Legs Won,2020
264,Simon Stevenson,ENG,45.79%,Pcnt Legs Won,2020
265,Jens Kniest,GER,45.42%,Pcnt Legs Won,2020
266,Ciarán Teehan,IRL,45.4%,Pcnt Legs Won,2020
267,Cameron Doyle,ENG,45.26%,Pcnt Legs Won,2020
268,Reece Robinson,ENG,45.18%,Pcnt Legs Won,2020
269,Harry Ward,ENG,44.82%,Pcnt Legs Won,2020
270,Kirk Shepherd,ENG,44.67%,Pcnt Legs Won,2020
271,Jamie Lewis,WAL,44.44%,Pcnt Legs Won,2020
272,Robin Beger,GER,44.44%,Pcnt Legs Won,2020
273,John Michael,GRE,44.37%,Pcnt Legs Won,2020
274,Matt Clark,ENG,44.3%,Pcnt Legs Won,2020
275,Toni Alcinas,ESP,44.2%,Pcnt Legs Won,2020
276,Robert Thornton,SCO,44.06%,Pcnt Legs Won,2020
277,Mike van Duivenbode,NED,43.28%,Pcnt Legs Won,2020
278,Scott Baker,ENG,42.92%,Pcnt Legs Won,2020
279,Jan Dekker,NED,42.89%,Pcnt Legs Won,2020
280,Kevin Knopf,GER,42.36%,Pcnt Legs Won,2020
281,Richard North,ENG,42.35%,Pcnt Legs Won,2020
282,Michael Poole,ENG,42.15%,Pcnt Legs Won,2020
283,Gary Blades,ENG,42.12%,Pcnt Legs Won,2020
284,Gavin Carlin,NIR,41.9%,Pcnt Legs Won,2020
285,Karsten Koch,GER,41.89%,Pcnt Legs Won,2020
286,Jonathan Worsley,WAL,41.57%,Pcnt Legs Won,2020
287,Vincent van der Meer,NED,40.69%,Pcnt Legs Won,2020
288,Ben Quenby,ENG,40.6%,Pcnt Legs Won,2020
289,René Eidams,GER,40.14%,Pcnt Legs Won,2020
290,Harald Leitinger,AUT,38.9%,Pcnt Legs Won,2020
291,David Pallett,ENG,38.74%,Pcnt Legs Won,2020
292,Mark McGeeney,ENG,38.54%,Pcnt Legs Won,2020
293,Yordi Meeuwisse,NED,37.9%,Pcnt Legs Won,2020
294,Adrian Gray,ENG,37.72%,Pcnt Legs Won,2020
295,Aaron Beeney,ENG,37.37%,Pcnt Legs Won,2020
296,Michael Barnard,ENG,34.06%,Pcnt Legs Won,2020
297,Barrie Bates,WAL,32.32%,Pcnt Legs Won,2020
298,Nathan Derry,ENG,30.92%,Pcnt Legs Won,2020
251,Matthew Finch,,47.5%,Pcnt Legs Won,2020
252,Joe Murnan,ENG,47.4%,Pcnt Legs Won,2020
253,Marko Kantele,FIN,47.39%,Pcnt Legs Won,2020
254,Aiden Cope,ENG,47.39%,Pcnt Legs Won,2020
255,Carl Batchelor,ENG,47.11%,Pcnt Legs Won,2020
256,Matthew Edgar,ENG,47.03%,Pcnt Legs Won,2020
257,Josh Payne,ENG,46.93%,Pcnt Legs Won,2020
258,Maik Kuivenhoven,NED,46.68%,Pcnt Legs Won,2020
259,Benito van de Pas,NED,46.5%,Pcnt Legs Won,2020
260,Jack Vincent,ENG,46.24%,Pcnt Legs Won,2020
261,Brad Phillips,ENG,46.06%,Pcnt Legs Won,2020
262,Conan Whitehead,ENG,45.89%,Pcnt Legs Won,2020
263,Carl Wilkinson,ENG,45.8%,Pcnt Legs Won,2020
264,Simon Stevenson,ENG,45.79%,Pcnt Legs Won,2020
265,Jens Kniest,GER,45.42%,Pcnt Legs Won,2020
266,Ciarán Teehan,IRL,45.4%,Pcnt Legs Won,2020
267,Cameron Doyle,ENG,45.26%,Pcnt Legs Won,2020
268,Reece Robinson,ENG,45.18%,Pcnt Legs Won,2020
269,Harry Ward,ENG,44.82%,Pcnt Legs Won,2020
270,Kirk Shepherd,ENG,44.67%,Pcnt Legs Won,2020
271,Jamie Lewis,WAL,44.44%,Pcnt Legs Won,2020
272,Robin Beger,GER,44.44%,Pcnt Legs Won,2020
273,John Michael,GRE,44.37%,Pcnt Legs Won,2020
274,Matt Clark,ENG,44.3%,Pcnt Legs Won,2020
275,Toni Alcinas,ESP,44.2%,Pcnt Legs Won,2020
276,Robert Thornton,SCO,44.06%,Pcnt Legs Won,2020
277,Mike van Duivenbode,NED,43.28%,Pcnt Legs Won,2020
278,Scott Baker,ENG,42.92%,Pcnt Legs Won,2020
279,Jan Dekker,NED,42.89%,Pcnt Legs Won,2020
280,Kevin Knopf,GER,42.36%,Pcnt Legs Won,2020
281,Richard North,ENG,42.35%,Pcnt Legs Won,2020
282,Michael Poole,ENG,42.15%,Pcnt Legs Won,2020
283,Gary Blades,ENG,42.12%,Pcnt Legs Won,2020
284,Gavin Carlin,NIR,41.9%,Pcnt Legs Won,2020
285,Karsten Koch,GER,41.89%,Pcnt Legs Won,2020
286,Jonathan Worsley,WAL,41.57%,Pcnt Legs Won,2020
287,Vincent van der Meer,NED,40.69%,Pcnt Legs Won,2020
288,Ben Quenby,ENG,40.6%,Pcnt Legs Won,2020
289,René Eidams,GER,40.14%,Pcnt Legs Won,2020
290,Harald Leitinger,AUT,38.9%,Pcnt Legs Won,2020
291,David Pallett,ENG,38.74%,Pcnt Legs Won,2020
292,Mark McGeeney,ENG,38.54%,Pcnt Legs Won,2020
293,Yordi Meeuwisse,NED,37.9%,Pcnt Legs Won,2020
294,Adrian Gray,ENG,37.72%,Pcnt Legs Won,2020
295,Aaron Beeney,ENG,37.37%,Pcnt Legs Won,2020
296,Michael Barnard,ENG,34.06%,Pcnt Legs Won,2020
297,Barrie Bates,WAL,32.32%,Pcnt Legs Won,2020
298,Nathan Derry,ENG,30.92%,Pcnt Legs Won,2020
1,Jeremy Fagg,AUS,76.35%,Pcnt Legs Won,2021
2,Dave Marland,AUS,74.74%,Pcnt Legs Won,2021
3,Bill Aitken,AUS,74.6%,Pcnt Legs Won,2021
4,Pim van Bijnen,NED,74.24%,Pcnt Legs Won,2021
5,Raymond Smith,AUS,73.75%,Pcnt Legs Won,2021
6,Rob Modra,AUS,73.5%,Pcnt Legs Won,2021
7,Brody Klinge,AUS,73.33%,Pcnt Legs Won,2021
8,Stuart Coburn,AUS,73.12%,Pcnt Legs Won,2021
9,Jackson Davies,AUS,72.29%,Pcnt Legs Won,2021
10,Robbie King,AUS,72.21%,Pcnt Legs Won,2021
11,Peter Wilmott,AUS,72.21%,Pcnt Legs Won,2021
12,Mitchell Clegg,AUS,72.04%,Pcnt Legs Won,2021
13,Jamie Rundle,AUS,71.6%,Pcnt Legs Won,2021
14,Leighton Bennett,ENG,71.33%,Pcnt Legs Won,2021
15,Brendon Saunders,NZL,70.5%,Pcnt Legs Won,2021
16,Tim Pusey,AUS,70.36%,Pcnt Legs Won,2021
17,Justin Frey,AUS,70.12%,Pcnt Legs Won,2021
18,Raymond O'Donnell,AUS,70%,Pcnt Legs Won,2021
19,Luke Littler,ENG,69.65%,Pcnt Legs Won,2021
20,Matt Mullen,AUS,69.28%,Pcnt Legs Won,2021
21,Lucas Cameron,AUS,69.16%,Pcnt Legs Won,2021
22,Rhys Mathewson,AUS,68.78%,Pcnt Legs Won,2021
23,Jules Van Dongen,USA,68.65%,Pcnt Legs Won,2021
24,Mal Cuming,AUS,68.48%,Pcnt Legs Won,2021
25,Fabian Schmutzler,GER,67.7%,Pcnt Legs Won,2021
26,Brendon McCausland,AUS,67.59%,Pcnt Legs Won,2021
27,Mike Bonser,AUS,66.86%,Pcnt Legs Won,2021
28,Jacob Taylor,CAN,66.75%,Pcnt Legs Won,2021
29,Mick Lacey,AUS,66.44%,Pcnt Legs Won,2021
30,Clayton Collins,AUS,66.32%,Pcnt Legs Won,2021
31,Dave Littleboy,AUS,66.32%,Pcnt Legs Won,2021
32,James Bailey,AUS,65.86%,Pcnt Legs Won,2021
33,Josh Kime,AUS,65.57%,Pcnt Legs Won,2021
34,Kirsty Hutchinson,ENG,65.53%,Pcnt Legs Won,2021
35,Sam Ballinger,AUS,65.47%,Pcnt Legs Won,2021
36,Patrick Kovacs,HUN,65.42%,Pcnt Legs Won,2021
37,Joel Hynd,AUS,65.13%,Pcnt Legs Won,2021
38,Koha Kokiri,AUS,64.95%,Pcnt Legs Won,2021
39,János Végső,HUN,64.81%,Pcnt Legs Won,2021
40,Chris Krabbe,AUS,64%,Pcnt Legs Won,2021
41,Mark Wortley,AUS,63.79%,Pcnt Legs Won,2021
42,Cameron Menzies,SCO,63.61%,Pcnt Legs Won,2021
43,Fallon Sherrock,ENG,63.39%,Pcnt Legs Won,2021
44,James Raroa,AUS,63.28%,Pcnt Legs Won,2021
45,Brandon Weening,AUS,63.26%,Pcnt Legs Won,2021
46,Mikuru Suzuki,JPN,63.18%,Pcnt Legs Won,2021
47,Brendan Porter,AUS,63.18%,Pcnt Legs Won,2021
48,Shaun Kopecki,AUS,63.16%,Pcnt Legs Won,2021
49,Mike van Duivenbode,NED,63.14%,Pcnt Legs Won,2021
50,Pat Orreal,AUS,62.96%,Pcnt Legs Won,2021
101,Graham Usher,ENG,58.97%,Pcnt Legs Won,2021
102,John Bunyard,AUS,58.96%,Pcnt Legs Won,2021
103,James Richardson,ENG,58.95%,Pcnt Legs Won,2021
104,Wesley Plaisier,NED,58.88%,Pcnt Legs Won,2021
105,Scott Marsh,ENG,58.87%,Pcnt Legs Won,2021
106,Christian Kist,NED,58.85%,Pcnt Legs Won,2021
107,Jonny Clayton,WAL,58.76%,Pcnt Legs Won,2021
108,Larry Butler,USA,58.72%,Pcnt Legs Won,2021
109,Cameron Anderson,ENG,58.71%,Pcnt Legs Won,2021
110,Kenny Neyens,BEL,58.7%,Pcnt Legs Won,2021
111,Dom Taylor,ENG,58.65%,Pcnt Legs Won,2021
112,Johan Engstrom,SWE,58.61%,Pcnt Legs Won,2021
113,Mario Vandenbogaerde,BEL,58.61%,Pcnt Legs Won,2021
114,Laura Turner,ENG,58.53%,Pcnt Legs Won,2021
115,Shane Wolter,AUS,58.52%,Pcnt Legs Won,2021
116,Damian Mol,NED,58.51%,Pcnt Legs Won,2021
117,Mike Warburton,WAL,58.48%,Pcnt Legs Won,2021
118,Robert Owen,WAL,58.45%,Pcnt Legs Won,2021
119,Shaun McDonald,SCO,58.42%,Pcnt Legs Won,2021
120,Kevin Doets,NED,58.35%,Pcnt Legs Won,2021
121,Jim McEwan,SCO,58.34%,Pcnt Legs Won,2021
122,Nathan Potter,ENG,58.33%,Pcnt Legs Won,2021
123,Dave Cameron,CAN,58.25%,Pcnt Legs Won,2021
124,Lukas Wenig,GER,58.25%,Pcnt Legs Won,2021
125,Dave Prins,ENG,58.23%,Pcnt Legs Won,2021
126,Justin Smith,WAL,58.2%,Pcnt Legs Won,2021
127,Micheal Ruthenberg,,58.05%,Pcnt Legs Won,2021
128,Nico Kurz,GER,58.01%,Pcnt Legs Won,2021
129,Joey Lynaugh,USA,57.98%,Pcnt Legs Won,2021
130,Michael Smith,ENG,57.94%,Pcnt Legs Won,2021
131,Tavis Dudeney,ENG,57.91%,Pcnt Legs Won,2021
132,Jose De Sousa,POR,57.88%,Pcnt Legs Won,2021
133,Scott Taylor,ENG,57.81%,Pcnt Legs Won,2021
134,Reece Colley,ENG,57.81%,Pcnt Legs Won,2021
135,Toni Alcinas,ESP,57.78%,Pcnt Legs Won,2021
136,John Norman Jr.,CAN,57.67%,Pcnt Legs Won,2021
137,Michael van Gerwen,NED,57.64%,Pcnt Legs Won,2021
138,Roman Benecky,CZE,57.62%,Pcnt Legs Won,2021
139,Roz Bulmer,ENG,57.61%,Pcnt Legs Won,2021
140,Denise Cassidy,NIR,57.6%,Pcnt Legs Won,2021
141,Sebastian Bialecki,POL,57.57%,Pcnt Legs Won,2021
142,Nick Fullwell,ENG,57.49%,Pcnt Legs Won,2021
143,Matthew Dennant,ENG,57.48%,Pcnt Legs Won,2021
144,Callan Rydz,ENG,57.46%,Pcnt Legs Won,2021
145,Brendan Dolan,NIR,57.45%,Pcnt Legs Won,2021
146,Steve Luke,AUS,57.39%,Pcnt Legs Won,2021
147,David Wawrzewski,ENG,57.37%,Pcnt Legs Won,2021
148,Dylan Van Lierop,NED,57.27%,Pcnt Legs Won,2021
149,Trina Gulliver,ENG,57.27%,Pcnt Legs Won,2021
150,Andy Pinder,AUS,57.26%,Pcnt Legs Won,2021
151,Davyd Venken,BEL,57.21%,Pcnt Legs Won,2021
152,Moreno Blom,NED,57.17%,Pcnt Legs Won,2021
153,Joost Geurts,NED,57.14%,Pcnt Legs Won,2021
154,Brian Raman,BEL,57.14%,Pcnt Legs Won,2021
155,Danny van Trijp,NED,57.11%,Pcnt Legs Won,2021
156,Jimmy Hendriks,NED,57.03%,Pcnt Legs Won,2021
157,Reece Robinson,ENG,57%,Pcnt Legs Won,2021
158,Ronny Huybrechts,BEL,56.93%,Pcnt Legs Won,2021
159,Chris Mason,ENG,56.87%,Pcnt Legs Won,2021
160,Lee Evans,ENG,56.86%,Pcnt Legs Won,2021
161,Corey Naumann,AUS,56.83%,Pcnt Legs Won,2021
162,Chris Landman,NED,56.82%,Pcnt Legs Won,2021
163,Riaan Engelbrecht,AUS,56.8%,Pcnt Legs Won,2021
164,Christian Bunse,GER,56.77%,Pcnt Legs Won,2021
165,Ryan Searle,ENG,56.76%,Pcnt Legs Won,2021
166,Daniel Lauby Jr.,USA,56.74%,Pcnt Legs Won,2021
167,Damon Heta,AUS,56.71%,Pcnt Legs Won,2021
168,Thibault Tricole,FRA,56.68%,Pcnt Legs Won,2021
169,Jason Hogg,SCO,56.65%,Pcnt Legs Won,2021
170,Dan Read,ENG,56.56%,Pcnt Legs Won,2021
171,Jeremy van der Winkel,NED,56.54%,Pcnt Legs Won,2021
172,José Justicia,ESP,56.49%,Pcnt Legs Won,2021
173,Maikel Verberk,NED,56.48%,Pcnt Legs Won,2021
174,Rob Cross,ENG,56.43%,Pcnt Legs Won,2021
175,Gary Mawson,USA,56.41%,Pcnt Legs Won,2021
176,Rhys Davies,WAL,56.37%,Pcnt Legs Won,2021
177,Tony Newell,ENG,56.29%,Pcnt Legs Won,2021
178,Josh McCarthy,ENG,56.27%,Pcnt Legs Won,2021
179,Peter Wright,SCO,56.26%,Pcnt Legs Won,2021
180,Archie Self,ENG,56.25%,Pcnt Legs Won,2021
181,Raymond van Barneveld,NED,56.23%,Pcnt Legs Won,2021
182,Gergely Lakatos,HUN,56.16%,Pcnt Legs Won,2021
183,Martin Schindler,GER,56.16%,Pcnt Legs Won,2021
184,Gian van Veen,NED,56.13%,Pcnt Legs Won,2021
185,Steve Hine,ENG,56.11%,Pcnt Legs Won,2021
186,John Imrie,FAR,56.07%,Pcnt Legs Won,2021
187,Terrance Insley,AUS,56.03%,Pcnt Legs Won,2021
188,Thomas Lovely,ENG,56.03%,Pcnt Legs Won,2021
189,Kyle Richardson,ENG,56%,Pcnt Legs Won,2021
190,Dragutin Horvat,GER,55.99%,Pcnt Legs Won,2021
191,Connor Scutt,ENG,55.96%,Pcnt Legs Won,2021
192,Corrinne Hammond,AUS,55.9%,Pcnt Legs Won,2021
193,Danny Noppert,NED,55.88%,Pcnt Legs Won,2021
194,Niko Springer,GER,55.87%,Pcnt Legs Won,2021
195,Mervyn King,ENG,55.75%,Pcnt Legs Won,2021
196,Jim Long,CAN,55.73%,Pcnt Legs Won,2021
197,Darren Armstrong,ENG,55.71%,Pcnt Legs Won,2021
198,Derek Coulson,WAL,55.64%,Pcnt Legs Won,2021
199,Ryan Hogarth,SCO,55.58%,Pcnt Legs Won,2021
200,Conor Heneghan,IRL,55.5%,Pcnt Legs Won,2021
201,Ross Smith,ENG,55.49%,Pcnt Legs Won,2021
202,Marcel Erba,GER,55.49%,Pcnt Legs Won,2021
203,Gillian Koehoorn,NED,55.44%,Pcnt Legs Won,2021
204,Joe Cullen,ENG,55.44%,Pcnt Legs Won,2021
205,Kevin Garcia,ENG,55.41%,Pcnt Legs Won,2021
206,Dirk van Duijvenbode,NED,55.38%,Pcnt Legs Won,2021
207,Ian Mackenzie,ENG,55.37%,Pcnt Legs Won,2021
208,Stephen Burton,ENG,55.25%,Pcnt Legs Won,2021
209,Martyn Turner,ENG,55.22%,Pcnt Legs Won,2021
210,John O Shea,IRL,55.22%,Pcnt Legs Won,2021
211,Thomas Junghans,SUI,55.2%,Pcnt Legs Won,2021
212,Krzysztof Ratajski,POL,55.2%,Pcnt Legs Won,2021
213,Darren Johnson,ENG,55.16%,Pcnt Legs Won,2021
214,Shane McGuirk,IRL,55.1%,Pcnt Legs Won,2021
215,Adrian Devine,IRL,55.09%,Pcnt Legs Won,2021
216,Manny Kato,AUS,55.09%,Pcnt Legs Won,2021
217,Dimitri Van den Bergh,BEL,55.04%,Pcnt Legs Won,2021
218,Lewis Pride,ENG,55%,Pcnt Legs Won,2021
219,Robert Rickwood,ENG,54.96%,Pcnt Legs Won,2021
220,Craig Hussey,AUS,54.95%,Pcnt Legs Won,2021
221,Dean Gibbs,AUS,54.9%,Pcnt Legs Won,2021
222,Gabriel Clemens,GER,54.89%,Pcnt Legs Won,2021
223,Carl Wilkinson,ENG,54.88%,Pcnt Legs Won,2021
224,Chris Dobey,ENG,54.8%,Pcnt Legs Won,2021
225,Lewis Gurney,ENG,54.78%,Pcnt Legs Won,2021
226,Chris Quantock,ENG,54.74%,Pcnt Legs Won,2021
227,Lloyd Pennell,ENG,54.71%,Pcnt Legs Won,2021
228,David Cairns,AUS,54.71%,Pcnt Legs Won,2021
229,Diogo Portela,BRA,54.67%,Pcnt Legs Won,2021
230,Peter Strbik,HUN,54.65%,Pcnt Legs Won,2021
231,Keane Barry,IRL,54.64%,Pcnt Legs Won,2021
232,David Pallett,ENG,54.64%,Pcnt Legs Won,2021
233,James Wade,ENG,54.61%,Pcnt Legs Won,2021
234,Franz Rötzsch,GER,54.6%,Pcnt Legs Won,2021
235,Dave Chisnall,ENG,54.54%,Pcnt Legs Won,2021
236,Russell Northey,AUS,54.5%,Pcnt Legs Won,2021
237,Rowby-John Rodriguez,AUT,54.44%,Pcnt Legs Won,2021
238,Darius Labanauskas,LTH,54.43%,Pcnt Legs Won,2021
239,Ryan Joyce,ENG,54.37%,Pcnt Legs Won,2021
240,Luke Humphries,ENG,54.35%,Pcnt Legs Won,2021
241,Jason Askew,ENG,54.3%,Pcnt Legs Won,2021
242,Robert Collins,ENG,54.29%,Pcnt Legs Won,2021
243,Kevin Blomme,BEL,54.28%,Pcnt Legs Won,2021
244,Arron Monk,ENG,54.27%,Pcnt Legs Won,2021
245,Niall Culleton,IRL,54.25%,Pcnt Legs Won,2021
246,Ted Evetts,ENG,54.24%,Pcnt Legs Won,2021
247,Richie Burnett,WAL,54.23%,Pcnt Legs Won,2021
248,Geert Nentjes,NED,54.22%,Pcnt Legs Won,2021
249,Rhys Hayden,ENG,54.18%,Pcnt Legs Won,2021
250,Vincent van der Voort,NED,54.17%,Pcnt Legs Won,2021
251,Gavin Carlin,NIR,54.17%,Pcnt Legs Won,2021
252,Tinus van Tiel,NED,54.15%,Pcnt Legs Won,2021
253,Nicholas Bell,ENG,54.12%,Pcnt Legs Won,2021
254,Nathan Girvan,SCO,54.06%,Pcnt Legs Won,2021
255,Mensur Suljović,AUT,54%,Pcnt Legs Won,2021
256,Alec McAvoy,AUS,53.97%,Pcnt Legs Won,2021
257,Adam Dee,IRL,53.96%,Pcnt Legs Won,2021
258,Nathan Care,ENG,53.95%,Pcnt Legs Won,2021
259,Chas Barstow,ENG,53.93%,Pcnt Legs Won,2021
260,Alan Norris,ENG,53.9%,Pcnt Legs Won,2021
261,Jacob Hibbert,ENG,53.88%,Pcnt Legs Won,2021
262,Florian Hempel,GER,53.88%,Pcnt Legs Won,2021
263,Gino Vos,NED,53.87%,Pcnt Legs Won,2021
264,Cayden Smith,ENG,53.87%,Pcnt Legs Won,2021
265,Lisa Ashton,ENG,53.87%,Pcnt Legs Won,2021
266,Owen Maiden,ENG,53.86%,Pcnt Legs Won,2021
267,Dave Proosten,NED,53.85%,Pcnt Legs Won,2021
268,Anastasia Dobromyslova,RUS,53.81%,Pcnt Legs Won,2021
269,Madars Razma,LTV,53.79%,Pcnt Legs Won,2021
270,Brad Johnson,AUS,53.79%,Pcnt Legs Won,2021
271,Daryl Gurney,NIR,53.78%,Pcnt Legs Won,2021
272,Adrian Lewis,ENG,53.75%,Pcnt Legs Won,2021
273,Deta Hedman,ENG,53.72%,Pcnt Legs Won,2021
274,Carl Beattie,ENG,53.72%,Pcnt Legs Won,2021
275,Conan Whitehead,ENG,53.68%,Pcnt Legs Won,2021
276,Alan Soutar,SCO,53.68%,Pcnt Legs Won,2021
277,Ash Britt,AUS,53.66%,Pcnt Legs Won,2021
278,Matt Padgett,ENG,53.66%,Pcnt Legs Won,2021
279,Paul O Malley,AUS,53.61%,Pcnt Legs Won,2021
280,Ryan Harrington,ENG,53.51%,Pcnt Legs Won,2021
281,Chris Woods,AUS,53.49%,Pcnt Legs Won,2021
282,Prakash Jiwa,IND,53.48%,Pcnt Legs Won,2021
283,Laurence Ryder,AUS,53.47%,Pcnt Legs Won,2021
284,Luke Smith,ENG,53.43%,Pcnt Legs Won,2021
285,Nathan Aspinall,ENG,53.4%,Pcnt Legs Won,2021
286,Martin Thomas,WAL,53.4%,Pcnt Legs Won,2021
287,Daniel Larsson,SWE,53.31%,Pcnt Legs Won,2021
288,Francois Schweyen,BEL,53.29%,Pcnt Legs Won,2021
289,Martijn Dragt,NED,53.26%,Pcnt Legs Won,2021
290,Niels Zonneveld,NED,53.16%,Pcnt Legs Won,2021
291,Marcel Gerdon,GER,53.16%,Pcnt Legs Won,2021
292,Adam Gawlas,CZE,53.08%,Pcnt Legs Won,2021
293,Bradley Brooks,ENG,53.06%,Pcnt Legs Won,2021
294,Michael Andre,AUS,53.01%,Pcnt Legs Won,2021
295,Robert Marijanović,GER,53%,Pcnt Legs Won,2021
296,John Scott,ENG,52.97%,Pcnt Legs Won,2021
297,Patrick Bulen,BEL,52.91%,Pcnt Legs Won,2021
298,Arjan Konterman,NED,52.91%,Pcnt Legs Won,2021
299,Scott Mitchell,ENG,52.9%,Pcnt Legs Won,2021
300,Robert Thornton,SCO,52.86%,Pcnt Legs Won,2021
301,Justin Hood,ENG,52.86%,Pcnt Legs Won,2021
302,József Öri,,52.77%,Pcnt Legs Won,2021
