Rank,Player,Country,Stat,Stat Category,Year
40,Yuki Yamada,JPN,50%,Pcnt Legs Won,2020
41,Robert Thornton,SCO,50%,Pcnt Legs Won,2020
42,Toni Alcinas,ESP,50%,Pcnt Legs Won,2020
43,Justin Hewitt,GIB,50%,Pcnt Legs Won,2020
44,Jose De Sousa,POR,50%,Pcnt Legs Won,2020
45,Janis Mustafejevs,LTV,50%,Pcnt Legs Won,2020
46,Benny Simeonidis,GRE,50%,Pcnt Legs Won,2020
47,Czechia,,44.44%,Pcnt Legs Won,2020
48,Italy,,44.44%,Pcnt Legs Won,2020
49,Hong Kong,,44.44%,Pcnt Legs Won,2020
50,José Marquês,POR,42.86%,Pcnt Legs Won,2020
1,Karel Sedláček,CZE,100%,Pcnt Legs Won,2020
2,Poland,,100%,Pcnt Legs Won,2020
3,Greece,,100%,Pcnt Legs Won,2020
4,Portugal,,100%,Pcnt Legs Won,2020
5,Krzysztof Ratajski,POL,77.78%,Pcnt Legs Won,2020
6,Leung Kai Fan,HKG,75%,Pcnt Legs Won,2020
7,Germany,,75%,Pcnt Legs Won,2020
8,Daniele Petri,ITA,75%,Pcnt Legs Won,2020
9,Haupai Puha,NZL,75%,Pcnt Legs Won,2020
10,Kim Huybrechts,BEL,73.91%,Pcnt Legs Won,2020
11,Gerwyn Price,WAL,73.53%,Pcnt Legs Won,2020
12,Wales,,72.73%,Pcnt Legs Won,2020
13,New Zealand,,71.43%,Pcnt Legs Won,2020
14,Jeff Smith,CAN,69.23%,Pcnt Legs Won,2020
15,Michael van Gerwen,NED,66.67%,Pcnt Legs Won,2020
16,Michael Smith,ENG,66.67%,Pcnt Legs Won,2020
17,William O'Connor,IRL,66.67%,Pcnt Legs Won,2020
18,Per Laursen,DEN,66.67%,Pcnt Legs Won,2020
19,Gabriel Clemens,GER,65.22%,Pcnt Legs Won,2020
20,Damon Heta,AUS,64.71%,Pcnt Legs Won,2020
21,Simon Whitlock,AUS,64.71%,Pcnt Legs Won,2020
22,Mensur Suljović,AUT,63.16%,Pcnt Legs Won,2020
23,Lithuania,,62.5%,Pcnt Legs Won,2020
24,Rowby-John Rodriguez,AUT,61.11%,Pcnt Legs Won,2020
25,Danny Noppert,NED,60%,Pcnt Legs Won,2020
26,Belgium,,60%,Pcnt Legs Won,2020
27,Matt Campbell,CAN,58.82%,Pcnt Legs Won,2020
28,Jonny Clayton,WAL,58.82%,Pcnt Legs Won,2020
29,Rob Cross,ENG,58.33%,Pcnt Legs Won,2020
30,Austria,,57.14%,Pcnt Legs Won,2020
31,Latvia,,55.56%,Pcnt Legs Won,2020
32,Spain,,55.56%,Pcnt Legs Won,2020
33,Max Hopp,GER,55%,Pcnt Legs Won,2020
34,England,,54.55%,Pcnt Legs Won,2020
35,Netherlands,,53.85%,Pcnt Legs Won,2020
36,Canada,,53.85%,Pcnt Legs Won,2020
37,Australia,,53.85%,Pcnt Legs Won,2020
38,Lourence Ilagan,PHI,50%,Pcnt Legs Won,2020
39,Noel Malicdem,PHI,50%,Pcnt Legs Won,2020
40,Yuki Yamada,JPN,50%,Pcnt Legs Won,2020
41,Robert Thornton,SCO,50%,Pcnt Legs Won,2020
42,Toni Alcinas,ESP,50%,Pcnt Legs Won,2020
43,Justin Hewitt,GIB,50%,Pcnt Legs Won,2020
44,Jose De Sousa,POR,50%,Pcnt Legs Won,2020
45,Janis Mustafejevs,LTV,50%,Pcnt Legs Won,2020
46,Benny Simeonidis,GRE,50%,Pcnt Legs Won,2020
47,Czechia,,44.44%,Pcnt Legs Won,2020
48,Italy,,44.44%,Pcnt Legs Won,2020
49,Hong Kong,,44.44%,Pcnt Legs Won,2020
50,José Marquês,POR,42.86%,Pcnt Legs Won,2020
1,Michael van Gerwen,NED,100%,Pcnt Legs Won,2021
2,Australia,,100%,Pcnt Legs Won,2021
3,Spain,,100%,Pcnt Legs Won,2021
4,Darius Labanauskas,LTH,84.62%,Pcnt Legs Won,2021
5,United States,,83.33%,Pcnt Legs Won,2021
6,Yoshihisa Baba,JPN,80%,Pcnt Legs Won,2021
7,Krzysztof Ratajski,POL,77.78%,Pcnt Legs Won,2021
8,Brendan Dolan,NIR,77.78%,Pcnt Legs Won,2021
9,Mensur Suljović,AUT,73.68%,Pcnt Legs Won,2021
10,Gerwyn Price,WAL,73.08%,Pcnt Legs Won,2021
11,James Wade,ENG,72.22%,Pcnt Legs Won,2021
12,Poland,,71.43%,Pcnt Legs Won,2021
13,Belgium,,71.43%,Pcnt Legs Won,2021
14,England,,71.43%,Pcnt Legs Won,2021
15,Marko Kantele,FIN,66.67%,Pcnt Legs Won,2021
16,Scotland,,65.38%,Pcnt Legs Won,2021
17,Simon Whitlock,AUS,64.29%,Pcnt Legs Won,2021
18,Germany,,64.29%,Pcnt Legs Won,2021
19,Kim Huybrechts,BEL,62.5%,Pcnt Legs Won,2021
20,Netherlands,,61.54%,Pcnt Legs Won,2021
21,Peter Wright,SCO,60.98%,Pcnt Legs Won,2021
22,John Henderson,SCO,60.61%,Pcnt Legs Won,2021
23,Devon Petersen,RSA,60%,Pcnt Legs Won,2021
24,Austria,,60%,Pcnt Legs Won,2021
25,Daniel Lauby Jr.,USA,60%,Pcnt Legs Won,2021
26,Japan,,58.33%,Pcnt Legs Won,2021
27,Wales,,57.14%,Pcnt Legs Won,2021
28,Singapore,,55.56%,Pcnt Legs Won,2021
29,Portugal,,55.56%,Pcnt Legs Won,2021
30,South Africa,,55.56%,Pcnt Legs Won,2021
31,Lithuania,,53.33%,Pcnt Legs Won,2021
32,Damon Heta,AUS,53.33%,Pcnt Legs Won,2021
33,Jose De Sousa,POR,50%,Pcnt Legs Won,2021
34,Steve Lennon,IRL,50%,Pcnt Legs Won,2021
35,William O'Connor,IRL,50%,Pcnt Legs Won,2021
36,Leung Kai Fan,HKG,50%,Pcnt Legs Won,2021
37,Jesús Noguera,ESP,50%,Pcnt Legs Won,2021
38,Justin Hewitt,GIB,50%,Pcnt Legs Won,2021
39,János Végső,HUN,50%,Pcnt Legs Won,2021
40,Sean Negrette,GIB,50%,Pcnt Legs Won,2021
41,Northern Ireland,,50%,Pcnt Legs Won,2021
42,Matt Campbell,CAN,50%,Pcnt Legs Won,2021
43,José Justicia,ESP,50%,Pcnt Legs Won,2021
44,Hugo Leung Man Lok,HKG,50%,Pcnt Legs Won,2021
45,Rowby-John Rodriguez,AUT,48.39%,Pcnt Legs Won,2021
46,Daryl Gurney,NIR,47.06%,Pcnt Legs Won,2021
47,Jonny Clayton,WAL,46.43%,Pcnt Legs Won,2021
48,Harith Lim,SNG,45.45%,Pcnt Legs Won,2021
49,Carl Gabriel,RSA,44.44%,Pcnt Legs Won,2021
50,Dave Chisnall,ENG,44.44%,Pcnt Legs Won,2021
1,Michael van Gerwen,NED,100%,Pcnt Legs Won,2021
2,Australia,,100%,Pcnt Legs Won,2021
3,Spain,,100%,Pcnt Legs Won,2021
4,Darius Labanauskas,LTH,84.62%,Pcnt Legs Won,2021
5,United States,,83.33%,Pcnt Legs Won,2021
6,Yoshihisa Baba,JPN,80%,Pcnt Legs Won,2021
7,Krzysztof Ratajski,POL,77.78%,Pcnt Legs Won,2021
8,Brendan Dolan,NIR,77.78%,Pcnt Legs Won,2021
9,Mensur Suljović,AUT,73.68%,Pcnt Legs Won,2021
10,Gerwyn Price,WAL,73.08%,Pcnt Legs Won,2021
11,James Wade,ENG,72.22%,Pcnt Legs Won,2021
12,Poland,,71.43%,Pcnt Legs Won,2021
13,Belgium,,71.43%,Pcnt Legs Won,2021
14,England,,71.43%,Pcnt Legs Won,2021
15,Marko Kantele,FIN,66.67%,Pcnt Legs Won,2021
16,Scotland,,65.38%,Pcnt Legs Won,2021
17,Simon Whitlock,AUS,64.29%,Pcnt Legs Won,2021
18,Germany,,64.29%,Pcnt Legs Won,2021
19,Kim Huybrechts,BEL,62.5%,Pcnt Legs Won,2021
20,Netherlands,,61.54%,Pcnt Legs Won,2021
21,Peter Wright,SCO,60.98%,Pcnt Legs Won,2021
22,John Henderson,SCO,60.61%,Pcnt Legs Won,2021
23,Devon Petersen,RSA,60%,Pcnt Legs Won,2021
24,Austria,,60%,Pcnt Legs Won,2021
25,Daniel Lauby Jr.,USA,60%,Pcnt Legs Won,2021
26,Japan,,58.33%,Pcnt Legs Won,2021
27,Wales,,57.14%,Pcnt Legs Won,2021
28,Singapore,,55.56%,Pcnt Legs Won,2021
29,Portugal,,55.56%,Pcnt Legs Won,2021
30,South Africa,,55.56%,Pcnt Legs Won,2021
31,Lithuania,,53.33%,Pcnt Legs Won,2021
32,Damon Heta,AUS,53.33%,Pcnt Legs Won,2021
33,Jose De Sousa,POR,50%,Pcnt Legs Won,2021
34,Steve Lennon,IRL,50%,Pcnt Legs Won,2021
35,William O'Connor,IRL,50%,Pcnt Legs Won,2021
36,Leung Kai Fan,HKG,50%,Pcnt Legs Won,2021
37,Jesús Noguera,ESP,50%,Pcnt Legs Won,2021
38,Justin Hewitt,GIB,50%,Pcnt Legs Won,2021
39,János Végső,HUN,50%,Pcnt Legs Won,2021
40,Sean Negrette,GIB,50%,Pcnt Legs Won,2021
41,Northern Ireland,,50%,Pcnt Legs Won,2021
42,Matt Campbell,CAN,50%,Pcnt Legs Won,2021
43,José Justicia,ESP,50%,Pcnt Legs Won,2021
44,Hugo Leung Man Lok,HKG,50%,Pcnt Legs Won,2021
45,Rowby-John Rodriguez,AUT,48.39%,Pcnt Legs Won,2021
46,Daryl Gurney,NIR,47.06%,Pcnt Legs Won,2021
47,Jonny Clayton,WAL,46.43%,Pcnt Legs Won,2021
48,Harith Lim,SNG,45.45%,Pcnt Legs Won,2021
49,Carl Gabriel,RSA,44.44%,Pcnt Legs Won,2021
50,Dave Chisnall,ENG,44.44%,Pcnt Legs Won,2021
1,Netherlands,,100%,Pcnt Legs Won,2022
2,Scotland,,90%,Pcnt Legs Won,2022
3,John Henderson,SCO,84.62%,Pcnt Legs Won,2022
4,Michael Smith,ENG,80.95%,Pcnt Legs Won,2022
5,Simon Whitlock,AUS,77.42%,Pcnt Legs Won,2022
6,Craig Galliano,GIB,75%,Pcnt Legs Won,2022
7,Danny Baggish,USA,75%,Pcnt Legs Won,2022
8,England,,75%,Pcnt Legs Won,2022
9,Danny Noppert,NED,72.22%,Pcnt Legs Won,2022
10,Ireland,,71.43%,Pcnt Legs Won,2022
11,Denmark,,71.43%,Pcnt Legs Won,2022
12,Australia,,69.57%,Pcnt Legs Won,2022
13,Madars Razma,LTV,69.23%,Pcnt Legs Won,2022
14,Dimitri Van den Bergh,BEL,68.75%,Pcnt Legs Won,2022
15,Harith Lim,SNG,66.67%,Pcnt Legs Won,2022
16,Tomoya Goto,JPN,66.67%,Pcnt Legs Won,2022
17,RJ Escaros,PHI,66.67%,Pcnt Legs Won,2022
18,Stefan Vermaak,RSA,66.67%,Pcnt Legs Won,2022
19,Gerwyn Price,WAL,65.38%,Pcnt Legs Won,2022
20,Brendan Dolan,NIR,64.71%,Pcnt Legs Won,2022
21,New Zealand,,62.5%,Pcnt Legs Won,2022
22,Northern Ireland,,62.5%,Pcnt Legs Won,2022
23,Wales,,61.9%,Pcnt Legs Won,2022
24,Gabriel Clemens,GER,60%,Pcnt Legs Won,2022
25,Ben Robb,NZL,60%,Pcnt Legs Won,2022
26,Damon Heta,AUS,59.46%,Pcnt Legs Won,2022
27,Daniel Larsson,SWE,58.33%,Pcnt Legs Won,2022
28,Latvia,,58.33%,Pcnt Legs Won,2022
29,Rowby-John Rodriguez,AUT,56.25%,Pcnt Legs Won,2022
30,Krzysztof Ratajski,POL,55.56%,Pcnt Legs Won,2022
31,Germany,,55.56%,Pcnt Legs Won,2022
32,Poland,,55.56%,Pcnt Legs Won,2022
33,Dirk van Duijvenbode,NED,55%,Pcnt Legs Won,2022
34,Austria,,53.33%,Pcnt Legs Won,2022
35,Mensur Suljović,AUT,52.94%,Pcnt Legs Won,2022
36,Jonny Clayton,WAL,50%,Pcnt Legs Won,2022
37,Steve Lennon,IRL,50%,Pcnt Legs Won,2022
38,Kim Huybrechts,BEL,50%,Pcnt Legs Won,2022
39,Stefan Bellmont,SUI,50%,Pcnt Legs Won,2022
40,Sweden,,50%,Pcnt Legs Won,2022
41,Tony Martinez,ESP,50%,Pcnt Legs Won,2022
42,José Justicia,ESP,50%,Pcnt Legs Won,2022
43,Johan Engstrom,SWE,50%,Pcnt Legs Won,2022
44,Aki Paavilainen,FIN,50%,Pcnt Legs Won,2022
45,Giuseppe di Rocco,,50%,Pcnt Legs Won,2022
46,Andreas Toft Jorgensen,DEN,50%,Pcnt Legs Won,2022
47,Martin Schindler,GER,46.15%,Pcnt Legs Won,2022
48,Jose De Sousa,POR,46.15%,Pcnt Legs Won,2022
49,James Wade,ENG,45.45%,Pcnt Legs Won,2022
50,Belgium,,45.45%,Pcnt Legs Won,2022
1,Netherlands,,100%,Pcnt Legs Won,2022
2,Scotland,,90%,Pcnt Legs Won,2022
3,John Henderson,SCO,84.62%,Pcnt Legs Won,2022
4,Michael Smith,ENG,80.95%,Pcnt Legs Won,2022
5,Simon Whitlock,AUS,77.42%,Pcnt Legs Won,2022
6,Craig Galliano,GIB,75%,Pcnt Legs Won,2022
7,Danny Baggish,USA,75%,Pcnt Legs Won,2022
8,England,,75%,Pcnt Legs Won,2022
9,Danny Noppert,NED,72.22%,Pcnt Legs Won,2022
10,Ireland,,71.43%,Pcnt Legs Won,2022
11,Denmark,,71.43%,Pcnt Legs Won,2022
12,Australia,,69.57%,Pcnt Legs Won,2022
13,Madars Razma,LTV,69.23%,Pcnt Legs Won,2022
14,Dimitri Van den Bergh,BEL,68.75%,Pcnt Legs Won,2022
15,Harith Lim,SNG,66.67%,Pcnt Legs Won,2022
16,Tomoya Goto,JPN,66.67%,Pcnt Legs Won,2022
17,RJ Escaros,PHI,66.67%,Pcnt Legs Won,2022
18,Stefan Vermaak,RSA,66.67%,Pcnt Legs Won,2022
19,Gerwyn Price,WAL,65.38%,Pcnt Legs Won,2022
20,Brendan Dolan,NIR,64.71%,Pcnt Legs Won,2022
21,New Zealand,,62.5%,Pcnt Legs Won,2022
22,Northern Ireland,,62.5%,Pcnt Legs Won,2022
23,Wales,,61.9%,Pcnt Legs Won,2022
24,Gabriel Clemens,GER,60%,Pcnt Legs Won,2022
25,Ben Robb,NZL,60%,Pcnt Legs Won,2022
26,Damon Heta,AUS,59.46%,Pcnt Legs Won,2022
27,Daniel Larsson,SWE,58.33%,Pcnt Legs Won,2022
28,Latvia,,58.33%,Pcnt Legs Won,2022
29,Rowby-John Rodriguez,AUT,56.25%,Pcnt Legs Won,2022
30,Krzysztof Ratajski,POL,55.56%,Pcnt Legs Won,2022
31,Germany,,55.56%,Pcnt Legs Won,2022
32,Poland,,55.56%,Pcnt Legs Won,2022
33,Dirk van Duijvenbode,NED,55%,Pcnt Legs Won,2022
34,Austria,,53.33%,Pcnt Legs Won,2022
35,Mensur Suljović,AUT,52.94%,Pcnt Legs Won,2022
36,Jonny Clayton,WAL,50%,Pcnt Legs Won,2022
37,Steve Lennon,IRL,50%,Pcnt Legs Won,2022
38,Kim Huybrechts,BEL,50%,Pcnt Legs Won,2022
39,Stefan Bellmont,SUI,50%,Pcnt Legs Won,2022
40,Sweden,,50%,Pcnt Legs Won,2022
41,Tony Martinez,ESP,50%,Pcnt Legs Won,2022
42,José Justicia,ESP,50%,Pcnt Legs Won,2022
43,Johan Engstrom,SWE,50%,Pcnt Legs Won,2022
44,Aki Paavilainen,FIN,50%,Pcnt Legs Won,2022
45,Giuseppe di Rocco,,50%,Pcnt Legs Won,2022
46,Andreas Toft Jorgensen,DEN,50%,Pcnt Legs Won,2022
47,Martin Schindler,GER,46.15%,Pcnt Legs Won,2022
48,Jose De Sousa,POR,46.15%,Pcnt Legs Won,2022
49,James Wade,ENG,45.45%,Pcnt Legs Won,2022
50,Belgium,,45.45%,Pcnt Legs Won,2022
1,Craig Galliano,GIB,150%,Pcnt Legs Won,2023
2,Patrick Kovacs,HUN,150%,Pcnt Legs Won,2023
3,Brendan Dolan,NIR,125%,Pcnt Legs Won,2023
4,Gerwyn Price,WAL,100%,Pcnt Legs Won,2023
5,Mensur Suljović,AUT,100%,Pcnt Legs Won,2023
6,Gary Anderson,SCO,100%,Pcnt Legs Won,2023
7,Darius Labanauskas,LTH,100%,Pcnt Legs Won,2023
8,Keane Barry,IRL,100%,Pcnt Legs Won,2023
9,Mindaugas Barauskas,LTH,100%,Pcnt Legs Won,2023
10,Dennis Nilsson,SWE,100%,Pcnt Legs Won,2023
11,Thibault Tricole,FRA,100%,Pcnt Legs Won,2023
12,Warren Parry,NZL,100%,Pcnt Legs Won,2023
13,Martin Schindler,GER,90.91%,Pcnt Legs Won,2023
14,Simon Whitlock,AUS,90.91%,Pcnt Legs Won,2023
15,Christian Perez,PHI,87.5%,Pcnt Legs Won,2023
16,Adam Gawlas,CZE,80%,Pcnt Legs Won,2023
17,Krzysztof Ratajski,POL,75%,Pcnt Legs Won,2023
18,Paavo Myller,FIN,75%,Pcnt Legs Won,2023
19,Dirk van Duijvenbode,NED,71.43%,Pcnt Legs Won,2023
20,Boris Krčmar,CRO,70%,Pcnt Legs Won,2023
21,Wales,,68%,Pcnt Legs Won,2023
22,Tomoya Goto,JPN,66.67%,Pcnt Legs Won,2023
23,Vitor Manuel Guerra Charrua,ISL,66.67%,Pcnt Legs Won,2023
24,Jun Matsuda,JPN,66.67%,Pcnt Legs Won,2023
25,Madars Razma,LTV,66.67%,Pcnt Legs Won,2023
26,Kim Huybrechts,BEL,66.67%,Pcnt Legs Won,2023
27,Dimitri Van den Bergh,BEL,66.67%,Pcnt Legs Won,2023
28,Rob Cross,ENG,66.67%,Pcnt Legs Won,2023
29,Michael Smith,ENG,66.67%,Pcnt Legs Won,2023
30,Michele Turetta,ITA,66.67%,Pcnt Legs Won,2023
31,Larry Butler,USA,66.67%,Pcnt Legs Won,2023
32,Jeff Smith,CAN,63.64%,Pcnt Legs Won,2023
33,Germany,,63.04%,Pcnt Legs Won,2023
34,Australia,,62.16%,Pcnt Legs Won,2023
35,Jacques Labre,FRA,60%,Pcnt Legs Won,2023
36,Hugo Leung Man Lok,HKG,60%,Pcnt Legs Won,2023
37,Gabriel Clemens,GER,60%,Pcnt Legs Won,2023
38,Jonny Clayton,WAL,60%,Pcnt Legs Won,2023
39,Attapol Eupakaree,THA,60%,Pcnt Legs Won,2023
40,Marcel Walpen,SUI,60%,Pcnt Legs Won,2023
41,Benjamin Drue Reus,DEN,60%,Pcnt Legs Won,2023
42,Luis Ameixa,,60%,Pcnt Legs Won,2023
43,Devon Petersen,RSA,58.33%,Pcnt Legs Won,2023
44,Philippines,,56.52%,Pcnt Legs Won,2023
45,Scotland,,56.52%,Pcnt Legs Won,2023
46,Hungary,,55.56%,Pcnt Legs Won,2023
47,Northern Ireland,,55.56%,Pcnt Legs Won,2023
48,Belgium,,55.36%,Pcnt Legs Won,2023
49,Sweden,,55.26%,Pcnt Legs Won,2023
50,France,,55.17%,Pcnt Legs Won,2023
101,Karel Sedláček,CZE,20%,Pcnt Legs Won,2023
102,Jose De Sousa,POR,20%,Pcnt Legs Won,2023
103,Paul Lim,SNG,20%,Pcnt Legs Won,2023
104,Ben Robb,NZL,20%,Pcnt Legs Won,2023
105,Thanawat Gaweenuntavong,THA,20%,Pcnt Legs Won,2023
106,India,,20%,Pcnt Legs Won,2023
107,Guyana,,11.11%,Pcnt Legs Won,2023
108,Ukraine,,0%,Pcnt Legs Won,2023
109,Abdelnasser Yusuf,,0%,Pcnt Legs Won,2023
110,Vladyslav Omelchenko,,0%,Pcnt Legs Won,2023
111,Ilya Pekaruk,UKR,0%,Pcnt Legs Won,2023
112,Sudesh Fitzgerald,GUY,0%,Pcnt Legs Won,2023
113,Jules Van Dongen,USA,0%,Pcnt Legs Won,2023
114,Amit Gilitwala,IND,0%,Pcnt Legs Won,2023
115,Lok Yin Lee,HKG,0%,Pcnt Legs Won,2023
116,Hallgrimur Egilsson,ISL,0%,Pcnt Legs Won,2023
117,Zong Xiaochen,CHN,0%,Pcnt Legs Won,2023
118,Wen Lihao,,0%,Pcnt Legs Won,2023
119,Daryl Gurney,NIR,0%,Pcnt Legs Won,2023
120,Rowby-John Rodriguez,AUT,0%,Pcnt Legs Won,2023
101,Karel Sedláček,CZE,20%,Pcnt Legs Won,2023
102,Jose De Sousa,POR,20%,Pcnt Legs Won,2023
103,Paul Lim,SNG,20%,Pcnt Legs Won,2023
104,Ben Robb,NZL,20%,Pcnt Legs Won,2023
105,Thanawat Gaweenuntavong,THA,20%,Pcnt Legs Won,2023
106,India,,20%,Pcnt Legs Won,2023
107,Guyana,,11.11%,Pcnt Legs Won,2023
108,Ukraine,,0%,Pcnt Legs Won,2023
109,Abdelnasser Yusuf,,0%,Pcnt Legs Won,2023
110,Vladyslav Omelchenko,,0%,Pcnt Legs Won,2023
111,Ilya Pekaruk,UKR,0%,Pcnt Legs Won,2023
112,Sudesh Fitzgerald,GUY,0%,Pcnt Legs Won,2023
113,Jules Van Dongen,USA,0%,Pcnt Legs Won,2023
114,Amit Gilitwala,IND,0%,Pcnt Legs Won,2023
115,Lok Yin Lee,HKG,0%,Pcnt Legs Won,2023
116,Hallgrimur Egilsson,ISL,0%,Pcnt Legs Won,2023
117,Zong Xiaochen,CHN,0%,Pcnt Legs Won,2023
118,Wen Lihao,,0%,Pcnt Legs Won,2023
119,Daryl Gurney,NIR,0%,Pcnt Legs Won,2023
120,Rowby-John Rodriguez,AUT,0%,Pcnt Legs Won,2023
1,Valters Melderis,LTV,85.71%,Pcnt Legs Won,2024
2,Jose De Sousa,POR,83.33%,Pcnt Legs Won,2024
3,Luke Humphries,ENG,80%,Pcnt Legs Won,2024
4,Craig Galliano,GIB,80%,Pcnt Legs Won,2024
5,Cameron Carolissen,RSA,80%,Pcnt Legs Won,2024
6,Gary Anderson,SCO,77.78%,Pcnt Legs Won,2024
7,Christian Perez,PHI,75%,Pcnt Legs Won,2024
8,Arngrimur Olafsson,ISL,75%,Pcnt Legs Won,2024
9,Boris Krčmar,CRO,73.68%,Pcnt Legs Won,2024
10,Oskar Lukasiak,SWE,72.22%,Pcnt Legs Won,2024
11,Jonny Clayton,WAL,71.43%,Pcnt Legs Won,2024
12,Simon Whitlock,AUS,69.23%,Pcnt Legs Won,2024
13,Gabriel Clemens,GER,66.67%,Pcnt Legs Won,2024
14,William O'Connor,IRL,66.67%,Pcnt Legs Won,2024
15,Rowby-John Rodriguez,AUT,66.67%,Pcnt Legs Won,2024
16,Cor Dekker,NOR,66.67%,Pcnt Legs Won,2024
17,Matt Campbell,CAN,66.67%,Pcnt Legs Won,2024
18,England,,66.67%,Pcnt Legs Won,2024
19,Massimo Dalla Rosa,ITA,65%,Pcnt Legs Won,2024
20,Kim Huybrechts,BEL,63.64%,Pcnt Legs Won,2024
21,New Zealand,,63.64%,Pcnt Legs Won,2024
22,Haupai Puha,NZL,62.5%,Pcnt Legs Won,2024
23,Ben Robb,NZL,62.5%,Pcnt Legs Won,2024
24,Sweden,,60.53%,Pcnt Legs Won,2024
25,Austria,,60.32%,Pcnt Legs Won,2024
26,Hugo Leung Man Lok,HKG,60%,Pcnt Legs Won,2024
27,Thibault Tricole,FRA,60%,Pcnt Legs Won,2024
28,Lok Yin Lee,HKG,60%,Pcnt Legs Won,2024
29,Mensur Suljović,AUT,60%,Pcnt Legs Won,2024
30,Gabor Jagicza,HUN,60%,Pcnt Legs Won,2024
31,Dimitri Van den Bergh,BEL,59.09%,Pcnt Legs Won,2024
32,Croatia,,58.97%,Pcnt Legs Won,2024
33,Belgium,,58.7%,Pcnt Legs Won,2024
34,Karel Sedláček,CZE,58.33%,Pcnt Legs Won,2024
35,Adam Gawlas,CZE,58.33%,Pcnt Legs Won,2024
36,Martin Schindler,GER,58.33%,Pcnt Legs Won,2024
37,Pupo Teng Lieh,TPE,58.33%,Pcnt Legs Won,2024
38,Michael Smith,ENG,56%,Pcnt Legs Won,2024
39,Czechia,,56%,Pcnt Legs Won,2024
40,Brendan Dolan,NIR,55.56%,Pcnt Legs Won,2024
41,Jeffrey de Graaf,SWE,55.56%,Pcnt Legs Won,2024
42,Germany,,55.56%,Pcnt Legs Won,2024
43,Josh Rock,NIR,55.56%,Pcnt Legs Won,2024
44,Hong Kong,,54.55%,Pcnt Legs Won,2024
45,Scotland,,54.05%,Pcnt Legs Won,2024
46,Portugal,,53.85%,Pcnt Legs Won,2024
47,Ireland,,53.85%,Pcnt Legs Won,2024
48,Italy,,53.49%,Pcnt Legs Won,2024
49,Australia,,52.38%,Pcnt Legs Won,2024
50,Northern Ireland,,51.28%,Pcnt Legs Won,2024
101,Duda Durra,BHR,25%,Pcnt Legs Won,2024
102,Alexis Toylo,PHI,25%,Pcnt Legs Won,2024
103,Marko Kantele,FIN,25%,Pcnt Legs Won,2024
104,Justin Hewitt,GIB,20%,Pcnt Legs Won,2024
105,Michael van Gerwen,NED,20%,Pcnt Legs Won,2024
106,Danny Noppert,NED,20%,Pcnt Legs Won,2024
107,Nandor Major,HUN,20%,Pcnt Legs Won,2024
108,José Justicia,ESP,20%,Pcnt Legs Won,2024
109,Norman Madhoo,GUY,20%,Pcnt Legs Won,2024
110,Johan Geldenhuys,RSA,20%,Pcnt Legs Won,2024
111,Netherlands,,20%,Pcnt Legs Won,2024
112,Daniel Lauby Jr.,USA,16.67%,Pcnt Legs Won,2024
113,Mindaugas Barauskas,LTH,16.67%,Pcnt Legs Won,2024
114,Jim Williams,WAL,14.29%,Pcnt Legs Won,2024
115,Liu Chengan,CHN,14.29%,Pcnt Legs Won,2024
116,Siik Hwang Wong,MLY,14.29%,Pcnt Legs Won,2024
117,Harith Lim,SNG,12.5%,Pcnt Legs Won,2024
118,Finland,,11.11%,Pcnt Legs Won,2024
119,Madars Razma,LTV,0%,Pcnt Legs Won,2024
120,Teemu Harju,FIN,0%,Pcnt Legs Won,2024
101,Duda Durra,BHR,25%,Pcnt Legs Won,2024
102,Alexis Toylo,PHI,25%,Pcnt Legs Won,2024
103,Marko Kantele,FIN,25%,Pcnt Legs Won,2024
104,Justin Hewitt,GIB,20%,Pcnt Legs Won,2024
105,Michael van Gerwen,NED,20%,Pcnt Legs Won,2024
106,Danny Noppert,NED,20%,Pcnt Legs Won,2024
107,Nandor Major,HUN,20%,Pcnt Legs Won,2024
108,José Justicia,ESP,20%,Pcnt Legs Won,2024
109,Norman Madhoo,GUY,20%,Pcnt Legs Won,2024
110,Johan Geldenhuys,RSA,20%,Pcnt Legs Won,2024
111,Netherlands,,20%,Pcnt Legs Won,2024
112,Daniel Lauby Jr.,USA,16.67%,Pcnt Legs Won,2024
113,Mindaugas Barauskas,LTH,16.67%,Pcnt Legs Won,2024
114,Jim Williams,WAL,14.29%,Pcnt Legs Won,2024
115,Liu Chengan,CHN,14.29%,Pcnt Legs Won,2024
116,Siik Hwang Wong,MLY,14.29%,Pcnt Legs Won,2024
117,Harith Lim,SNG,12.5%,Pcnt Legs Won,2024
118,Finland,,11.11%,Pcnt Legs Won,2024
119,Madars Razma,LTV,0%,Pcnt Legs Won,2024
120,Teemu Harju,FIN,0%,Pcnt Legs Won,2024
